node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
NOS3,CALM2,1847875,1846243,9606.ENSP00000297494,9606.ENSP00000272298,0,0,0,0,0,0.999,0,0,0.999
SCN5A,CALM2,1851095,1846243,9606.ENSP00000328968,9606.ENSP00000272298,0,0,0,0,0,0.999,0,0,0.999
SCN10A,SCN5A,1859502,1851095,9606.ENSP00000390600,9606.ENSP00000328968,0,0,0,0.969,0,0.999,0,0,0.999
CAMK2B,CALM2,1858327,1846243,9606.ENSP00000379098,9606.ENSP00000272298,0,0,0,0,0,0.999,0,0,0.999
CKS1B,SKP1,1849378,1843292,9606.ENSP00000311083,9606.ENSP00000231487,0,0,0,0,0,0.999,0,0,0.999
SPTAN1,CALM2,1855744,1846243,9606.ENSP00000361824,9606.ENSP00000272298,0,0,0,0.784,0,0.999,0,0,0.999
PAK3,PAK1,1854045,1846573,9606.ENSP00000353864,9606.ENSP00000278568,0,0,0,0.98,0,0.999,0,0,0.999
FGF12,CALM2,1861024,1846243,9606.ENSP00000413496,9606.ENSP00000272298,0,0,0,0,0,0.999,0,0,0.999
SCN10A,CALM2,1859502,1846243,9606.ENSP00000390600,9606.ENSP00000272298,0,0,0,0,0,0.999,0,0,0.999
PPP3CA,CALM2,1.86E+06,1846243,9606.ENSP00000378323,9606.ENSP00000272298,0,0,0,0,0,0.998,0,0,0.998
CDC27,CDC16,1.86E+06,1853313,9606.ENSP00000434614,9606.ENSP00000348554,0,0,0,0.619,0,0.997,0,0,0.997
CDC16,ANAPC10,1.85E+06,1849254,9606.ENSP00000348554,9606.ENSP00000310071,0,0,0,0,0,0.997,0,0,0.997
CDC27,CDC23,1.86E+06,1858243,9606.ENSP00000434614,9606.ENSP00000378350,0,0,0,0.652,0,0.997,0,0,0.997
CDC23,ANAPC10,1.86E+06,1849254,9606.ENSP00000378350,9606.ENSP00000310071,0,0,0,0,0,0.997,0,0,0.997
POLR2F,POLR2G,1.86E+06,1848338,9606.ENSP00000403852,9606.ENSP00000301788,0,0,0,0,0,0.997,0,0,0.997
CDC23,ANAPC5,1.86E+06,1845000,9606.ENSP00000378350,9606.ENSP00000261819,0,0,0,0,0,0.997,0,0,0.997
ARCN1,COPZ1,1.85E+06,1845053,9606.ENSP00000264028,9606.ENSP00000262061,0,0,0,0,0,0.997,0,0,0.997
GTF2E2,GTF2E1,1.85E+06,1846870,9606.ENSP00000348168,9606.ENSP00000283875,0,0,0,0,0,0.997,0,0,0.997
CDC27,ANAPC4,1.86E+06,1850076,9606.ENSP00000434614,9606.ENSP00000318775,0,0,0,0,0,0.997,0,0,0.997
GTF2E1,GTF2H4,1.85E+06,1844735,9606.ENSP00000283875,9606.ENSP00000259895,0,0,0,0,0,0.997,0,0,0.997
CDC23,ANAPC4,1.86E+06,1850076,9606.ENSP00000378350,9606.ENSP00000318775,0,0,0,0,0,0.997,0,0,0.997
ANAPC4,BUB1B,1.85E+06,1847075,9606.ENSP00000318775,9606.ENSP00000287598,0,0,0,0,0,0.997,0,0,0.997
CDC23,CDC16,1.86E+06,1853313,9606.ENSP00000378350,9606.ENSP00000348554,0,0,0,0,0,0.997,0,0,0.997
ANAPC4,ANAPC10,1.85E+06,1849254,9606.ENSP00000318775,9606.ENSP00000310071,0,0,0,0,0,0.997,0,0,0.997
ANAPC4,ANAPC2,1.85E+06,1849673,9606.ENSP00000318775,9606.ENSP00000314004,0,0,0,0,0,0.997,0,0,0.997
SCN11A,CALM2,1.85E+06,1846243,9606.ENSP00000307599,9606.ENSP00000272298,0,0,0,0,0,0.997,0,0,0.997
CDC16,ANAPC2,1.85E+06,1849673,9606.ENSP00000348554,9606.ENSP00000314004,0,0,0,0,0,0.997,0,0,0.997
CDC27,ANAPC10,1.86E+06,1849254,9606.ENSP00000434614,9606.ENSP00000310071,0,0,0,0,0,0.997,0,0,0.997
CDC16,BUB1B,1.85E+06,1847075,9606.ENSP00000348554,9606.ENSP00000287598,0,0,0,0,0,0.997,0,0,0.997
ANAPC2,ANAPC10,1.85E+06,1849254,9606.ENSP00000314004,9606.ENSP00000310071,0,0,0,0,0,0.997,0,0,0.997
CDC27,ANAPC2,1.86E+06,1849673,9606.ENSP00000434614,9606.ENSP00000314004,0,0,0,0,0,0.997,0,0,0.997
CDC23,ANAPC2,1.86E+06,1849673,9606.ENSP00000378350,9606.ENSP00000314004,0,0,0,0,0,0.997,0,0,0.997
ANAPC10,BUB1B,1.85E+06,1847075,9606.ENSP00000310071,9606.ENSP00000287598,0,0,0,0,0,0.997,0,0,0.997
CDC16,ANAPC4,1.85E+06,1850076,9606.ENSP00000348554,9606.ENSP00000318775,0,0,0,0,0,0.997,0,0,0.997
ANAPC4,MAD2L1,1.85E+06,1847745,9606.ENSP00000318775,9606.ENSP00000296509,0,0,0,0,0,0.997,0,0,0.997
GTF2H3,GTF2H4,1.86E+06,1844735,9606.ENSP00000445162,9606.ENSP00000259895,0,0,0,0,0,0.997,0,0,0.997
ANAPC4,ANAPC5,1.85E+06,1845000,9606.ENSP00000318775,9606.ENSP00000261819,0,0,0,0,0,0.997,0,0,0.997
ANAPC2,ANAPC5,1.85E+06,1845000,9606.ENSP00000314004,9606.ENSP00000261819,0,0,0,0,0,0.997,0,0,0.997
CDC23,BUB1B,1.86E+06,1847075,9606.ENSP00000378350,9606.ENSP00000287598,0,0,0,0,0,0.997,0,0,0.997
MAD2L1,BUB1B,1.85E+06,1847075,9606.ENSP00000296509,9606.ENSP00000287598,0,0,0,0,0,0.997,0,0,0.997
GTF2B,GTF2H4,1.86E+06,1844735,9606.ENSP00000359531,9606.ENSP00000259895,0,0,0,0,0,0.996,0,0,0.996
CDC20,MAD2L1,1.85E+06,1847745,9606.ENSP00000308450,9606.ENSP00000296509,0,0,0,0,0,0.996,0,0,0.996
GTF2H2,GTF2H4,1.85E+06,1844735,9606.ENSP00000274400,9606.ENSP00000259895,0,0,0,0,0,0.996,0,0,0.996
CDC20,BUB1B,1.85E+06,1847075,9606.ENSP00000308450,9606.ENSP00000287598,0,0,0,0,0,0.995,0,0,0.995
PER2,CRY1,1.84E+06,1842155,9606.ENSP00000254657,9606.ENSP00000008527,0,0,0,0,0,0.995,0,0,0.995
CRY2,PER2,1.86E+06,1844310,9606.ENSP00000406751,9606.ENSP00000254657,0,0,0,0,0,0.995,0,0,0.995
CAMK2A,CALM2,1.86E+06,1846243,9606.ENSP00000381412,9606.ENSP00000272298,0,0,0,0,0,0.994,0,0,0.994
GTF2H5,GTF2H4,1.86E+06,1844735,9606.ENSP00000415032,9606.ENSP00000259895,0,0,0,0,0,0.994,0,0,0.994
SCN10A,SCN11A,1.86E+06,1848973,9606.ENSP00000390600,9606.ENSP00000307599,0,0,0,0.914,0,0.994,0,0,0.994
MAD2L1,MAD1L1,1.85E+06,1845817,9606.ENSP00000296509,9606.ENSP00000265854,0,0,0,0,0,0.993,0,0,0.993
CAMK2A,CAMK2D,1.86E+06,1852245,9606.ENSP00000381412,9606.ENSP00000339740,0,0,0,0.987,0,0.993,0,0,0.993
ERCC2,GTF2H4,1.86E+06,1844735,9606.ENSP00000375809,9606.ENSP00000259895,0,0,0,0,0,0.993,0,0,0.993
CAMK2B,CAMK2D,1.86E+06,1852245,9606.ENSP00000379098,9606.ENSP00000339740,0,0,0,0.969,0,0.993,0,0,0.993
CKS2,CCNB1,1.86E+06,1844435,9606.ENSP00000364976,9606.ENSP00000256442,0,0,0,0,0,0.992,0,0,0.992
UBE2V2,UBE2N,1.86E+06,1849852,9606.ENSP00000428209,9606.ENSP00000316176,0,0,0,0,0,0.992,0,0,0.992
MCM2,MCM6,1.85E+06,1845487,9606.ENSP00000265056,9606.ENSP00000264156,0,0,0,0.773,0,0.992,0,0,0.992
CAMK2A,CAMK2B,1.86E+06,1858327,9606.ENSP00000381412,9606.ENSP00000379098,0,0,0,0.971,0,0.992,0,0,0.992
GTF2B,POLR2G,1.86E+06,1848338,9606.ENSP00000359531,9606.ENSP00000301788,0,0,0,0,0,0.991,0,0,0.991
MAP2K1,BRAF,1.85E+06,1847131,9606.ENSP00000302486,9606.ENSP00000288602,0,0,0,0.634,0,0.991,0,0,0.991
CDK1,CKS1B,1.86E+06,1849378,9606.ENSP00000378699,9606.ENSP00000311083,0,0,0,0,0,0.991,0,0,0.991
CDK1,CKS2,1.86E+06,1856383,9606.ENSP00000378699,9606.ENSP00000364976,0,0,0,0,0,0.991,0,0,0.991
CDK1,CCNB1,1.86E+06,1844435,9606.ENSP00000378699,9606.ENSP00000256442,0,0,0,0,0,0.991,0,0,0.991
ANAPC2,BUB1B,1.85E+06,1847075,9606.ENSP00000314004,9606.ENSP00000287598,0,0,0,0,0,0.991,0,0,0.991
POLR2F,GTF2B,1.86E+06,1855275,9606.ENSP00000403852,9606.ENSP00000359531,0,0,0,0,0,0.991,0,0,0.991
CKS1B,CDK2,1.85E+06,1845906,9606.ENSP00000311083,9606.ENSP00000266970,0,0,0,0,0,0.991,0,0,0.991
COPA,COPB2,1.85E+06,1851147,9606.ENSP00000357048,9606.ENSP00000329419,0,0,0,0.709,0,0.991,0,0,0.991
ANAPC10,ANAPC5,1.85E+06,1845000,9606.ENSP00000310071,9606.ENSP00000261819,0,0,0,0,0,0.99,0,0,0.99
SCN10A,SCN8A,1.86E+06,1853061,9606.ENSP00000390600,9606.ENSP00000346534,0,0,0,0.923,0,0.99,0,0,0.99
PPP3CB,CALM2,1.86E+06,1846243,9606.ENSP00000378306,9606.ENSP00000272298,0,0,0,0,0,0.99,0,0,0.99
SCN5A,SCN3A,1.85E+06,1846844,9606.ENSP00000328968,9606.ENSP00000283254,0,0,0,0.97,0,0.99,0,0,0.99
SCN10A,SCN3A,1.86E+06,1846844,9606.ENSP00000390600,9606.ENSP00000283254,0,0,0,0.958,0,0.99,0,0,0.99
ANAPC4,CDC20,1.85E+06,1849070,9606.ENSP00000318775,9606.ENSP00000308450,0,0,0,0,0,0.99,0,0,0.99
CAMK2D,CALM2,1.85E+06,1846243,9606.ENSP00000339740,9606.ENSP00000272298,0,0,0,0,0,0.99,0,0,0.99
SCN3A,CALM2,1.85E+06,1846243,9606.ENSP00000283254,9606.ENSP00000272298,0,0,0,0,0,0.99,0,0,0.99
PPP3CA,PPP3CB,1.86E+06,1858232,9606.ENSP00000378323,9606.ENSP00000378306,0,0,0,0.986,0,0.99,0,0,0.99
SCN11A,SCN3A,1.85E+06,1846844,9606.ENSP00000307599,9606.ENSP00000283254,0,0,0,0.909,0,0.99,0,0,0.99
CDC16,ANAPC5,1.85E+06,1845000,9606.ENSP00000348554,9606.ENSP00000261819,0,0,0,0,0,0.99,0,0,0.99
SCN8A,SCN5A,1.85E+06,1851095,9606.ENSP00000346534,9606.ENSP00000328968,0,0,0,0.967,0,0.99,0,0,0.99
